eta_x,eta_y,eta_psi,nu_u,nu_v,nu_r,x_tilde,y_tilde,on_land,u,v,r,d_obs,psi_tilde_obs,psi_tilde
800.519,517.566,-0.125,-0.009331,0.000775,8.3e-05,-0.544,0.167,0.0,-0.009,0.001,0.0,2.472,-0.391,-0.009
800.51,517.568,-0.125,-0.008781,0.000441,0.000162,-0.535,0.167,0.0,-0.009,0.0,0.0,2.478,-0.391,-0.009
800.501,517.569,-0.125,-0.008117,0.000157,0.000216,-0.526,0.166,0.0,-0.008,0.0,0.0,2.487,-0.391,-0.009
800.493,517.57,-0.125,-0.007388,-8.4e-05,0.000253,-0.518,0.166,0.0,-0.007,-0.0,0.0,2.499,-0.391,-0.009
800.486,517.571,-0.125,-0.006626,-0.000287,0.000277,-0.511,0.166,0.0,-0.007,-0.0,0.0,2.511,-0.392,-0.008
800.479,517.572,-0.124,-0.005852,-0.000458,0.000293,-0.504,0.167,0.0,-0.006,-0.0,0.0,2.524,-0.392,-0.008
800.473,517.572,-0.124,-0.00508,-0.000602,0.000301,-0.498,0.168,0.0,-0.005,-0.001,0.0,2.538,-0.392,-0.008
800.468,517.572,-0.124,-0.00432,-0.000722,0.000306,-0.493,0.168,0.0,-0.004,-0.001,0.0,2.551,-0.392,-0.008
800.464,517.572,-0.124,-0.003579,-0.000822,0.000307,-0.488,0.169,0.0,-0.004,-0.001,0.0,2.565,-0.393,-0.007
800.46,517.572,-0.123,-0.002862,-0.000904,0.000306,-0.485,0.17,0.0,-0.003,-0.001,0.0,2.578,-0.393,-0.007
800.457,517.571,-0.123,-0.002171,-0.000969,0.000303,-0.482,0.171,0.0,-0.002,-0.001,0.0,2.591,-0.393,-0.007
800.455,517.57,-0.123,-0.00151,-0.001021,0.000299,-0.48,0.172,0.0,-0.002,-0.001,0.0,2.604,-0.393,-0.006
800.453,517.57,-0.122,-0.000879,-0.00106,0.000295,-0.478,0.173,0.0,-0.001,-0.001,0.0,2.616,-0.394,-0.006
800.452,517.569,-0.122,-0.00028,-0.001089,0.00029,-0.477,0.175,0.0,-0.0,-0.001,0.0,2.628,-0.394,-0.006
800.452,517.568,-0.122,0.000287,-0.001108,0.000284,-0.477,0.176,0.0,0.0,-0.001,0.0,2.64,-0.394,-0.005
800.452,517.566,-0.121,0.000823,-0.001118,0.000278,-0.477,0.177,0.0,0.001,-0.001,0.0,2.651,-0.394,-0.005
800.453,517.565,-0.121,0.001326,-0.001122,0.000273,-0.478,0.178,0.0,0.001,-0.001,0.0,2.662,-0.394,-0.005
800.454,517.564,-0.121,0.001798,-0.001119,0.000267,-0.479,0.18,0.0,0.002,-0.001,0.0,2.673,-0.395,-0.005
800.456,517.563,-0.121,0.002238,-0.00111,0.000261,-0.481,0.181,0.0,0.002,-0.001,0.0,2.683,-0.395,-0.004
800.458,517.561,-0.12,0.002647,-0.001098,0.000255,-0.483,0.182,0.0,0.003,-0.001,0.0,2.693,-0.395,-0.004
800.46,517.56,-0.12,0.003027,-0.001081,0.000249,-0.486,0.183,0.0,0.003,-0.001,0.0,2.703,-0.395,-0.004
800.463,517.558,-0.12,0.003377,-0.001061,0.000243,-0.489,0.185,0.0,0.003,-0.001,0.0,2.712,-0.395,-0.004
800.466,517.557,-0.12,0.003699,-0.001038,0.000238,-0.492,0.186,0.0,0.004,-0.001,0.0,2.722,-0.395,-0.003
800.47,517.555,-0.119,0.003993,-0.001013,0.000232,-0.496,0.187,0.0,0.004,-0.001,0.0,2.731,-0.396,-0.003
800.474,517.554,-0.119,0.004261,-0.000987,0.000226,-0.5,0.188,0.0,0.004,-0.001,0.0,2.74,-0.396,-0.003
800.478,517.552,-0.119,0.004503,-0.000959,0.000221,-0.504,0.189,0.0,0.005,-0.001,0.0,2.749,-0.396,-0.003
800.482,517.551,-0.119,0.004721,-0.000931,0.000216,-0.508,0.19,0.0,0.005,-0.001,0.0,2.757,-0.396,-0.002
800.487,517.549,-0.119,0.004914,-0.000902,0.000211,-0.513,0.191,0.0,0.005,-0.001,0.0,2.765,-0.396,-0.002
800.492,517.548,-0.118,0.005086,-0.000873,0.000206,-0.518,0.192,0.0,0.005,-0.001,0.0,2.773,-0.396,-0.002
800.496,517.547,-0.118,0.005235,-0.000845,0.000201,-0.523,0.193,0.0,0.005,-0.001,0.0,2.781,-0.396,-0.002
800.502,517.545,-0.118,0.005365,-0.000816,0.000196,-0.528,0.194,0.0,0.005,-0.001,0.0,2.789,-0.397,-0.002
800.507,517.544,-0.118,0.005474,-0.000789,0.000191,-0.533,0.195,0.0,0.005,-0.001,0.0,2.797,-0.397,-0.001
800.512,517.542,-0.118,0.005566,-0.000762,0.000187,-0.539,0.196,0.0,0.006,-0.001,0.0,2.804,-0.397,-0.001
800.518,517.541,-0.117,0.005639,-0.000736,0.000183,-0.544,0.197,0.0,0.006,-0.001,0.0,2.811,-0.397,-0.001
800.523,517.539,-0.117,0.005697,-0.000711,0.000178,-0.55,0.198,0.0,0.006,-0.001,0.0,2.818,-0.397,-0.001
800.529,517.538,-0.117,0.005738,-0.000688,0.000174,-0.556,0.198,0.0,0.006,-0.001,0.0,2.825,-0.397,-0.001
800.534,517.537,-0.117,0.005765,-0.000666,0.00017,-0.561,0.199,0.0,0.006,-0.001,0.0,2.832,-0.397,-0.0
800.54,517.535,-0.117,0.005779,-0.000645,0.000167,-0.567,0.2,0.0,0.006,-0.001,0.0,2.839,-0.398,-0.0
800.546,517.534,-0.116,0.00578,-0.000625,0.000163,-0.573,0.201,0.0,0.006,-0.001,0.0,2.845,-0.398,-0.0
800.551,517.533,-0.116,0.005768,-0.000607,0.000159,-0.579,0.201,0.0,0.006,-0.001,0.0,2.852,-0.398,0.0
800.557,517.531,-0.116,0.005746,-0.00059,0.000156,-0.584,0.202,0.0,0.006,-0.001,0.0,2.858,-0.398,0.0
800.563,517.53,-0.116,0.005714,-0.000575,0.000153,-0.59,0.203,0.0,0.006,-0.001,0.0,5.381,-2.934,0.0
800.568,517.529,-0.116,0.002147,0.002573,-0.001334,-0.596,0.204,0.0,0.002,0.003,-0.001,5.351,-2.935,0.001
800.571,517.531,-0.117,-0.004857,0.00472,-0.002625,-0.598,0.2,0.0,-0.005,0.005,-0.003,2.812,-0.397,-0.001
800.566,517.537,-0.12,-0.005164,0.004014,-0.001997,-0.594,0.194,0.0,-0.005,0.004,-0.002,2.695,-0.395,-0.003
800.562,517.541,-0.122,-0.005591,0.003651,-0.001455,-0.589,0.189,0.0,-0.006,0.004,-0.001,2.607,-0.393,-0.005
800.557,517.545,-0.123,-0.007124,0.003228,-0.001016,-0.584,0.184,0.0,-0.007,0.003,-0.001,2.544,-0.392,-0.007
800.55,517.55,-0.124,-0.008515,0.002714,-0.000664,-0.577,0.18,0.0,-0.009,0.003,-0.001,2.502,-0.392,-0.008
800.542,517.553,-0.125,-0.009377,0.002175,-0.000389,-0.568,0.177,0.0,-0.009,0.002,-0.0,2.475,-0.391,-0.009
800.533,517.557,-0.125,-0.009706,0.001664,-0.00018,-0.559,0.175,0.0,-0.01,0.002,-0.0,2.461,-0.391,-0.009
800.523,517.559,-0.126,-0.009621,0.001209,-2.6e-05,-0.549,0.173,0.0,-0.01,0.001,-0.0,2.457,-0.391,-0.009
800.514,517.562,-0.126,-0.009251,0.000817,8.5e-05,-0.54,0.172,0.0,-0.009,0.001,0.0,2.458,-0.391,-0.009
800.505,517.564,-0.125,-0.008696,0.000482,0.000164,-0.53,0.171,0.0,-0.009,0.0,0.0,2.465,-0.391,-0.009
800.496,517.565,-0.125,-0.008029,0.000198,0.000218,-0.522,0.171,0.0,-0.008,0.0,0.0,2.474,-0.391,-0.009
800.488,517.567,-0.125,-0.007298,-4.2e-05,0.000255,-0.514,0.171,0.0,-0.007,-0.0,0.0,2.486,-0.391,-0.009
800.481,517.567,-0.125,-0.006533,-0.000244,0.000279,-0.506,0.171,0.0,-0.007,-0.0,0.0,2.498,-0.391,-0.008
800.475,517.568,-0.125,-0.005757,-0.000415,0.000294,-0.5,0.171,0.0,-0.006,-0.0,0.0,2.512,-0.392,-0.008
800.469,517.568,-0.124,-0.004984,-0.000559,0.000303,-0.494,0.172,0.0,-0.005,-0.001,0.0,2.525,-0.392,-0.008
800.464,517.568,-0.124,-0.004224,-0.000679,0.000307,-0.489,0.172,0.0,-0.004,-0.001,0.0,2.539,-0.392,-0.008
800.46,517.568,-0.124,-0.003482,-0.000779,0.000308,-0.485,0.173,0.0,-0.003,-0.001,0.0,2.553,-0.392,-0.007
800.456,517.568,-0.123,-0.002765,-0.00086,0.000307,-0.481,0.174,0.0,-0.003,-0.001,0.0,2.566,-0.393,-0.007
800.453,517.567,-0.123,-0.002074,-0.000926,0.000304,-0.478,0.175,0.0,-0.002,-0.001,0.0,2.579,-0.393,-0.007
800.451,517.567,-0.123,-0.001413,-0.000977,0.0003,-0.476,0.176,0.0,-0.001,-0.001,0.0,2.592,-0.393,-0.006
800.449,517.566,-0.122,-0.000783,-0.001016,0.000296,-0.475,0.177,0.0,-0.001,-0.001,0.0,2.605,-0.393,-0.006
800.449,517.565,-0.122,-0.000184,-0.001045,0.000291,-0.474,0.179,0.0,-0.0,-0.001,0.0,2.617,-0.394,-0.006
800.448,517.564,-0.122,0.000383,-0.001064,0.000285,-0.474,0.18,0.0,0.0,-0.001,0.0,2.629,-0.394,-0.005
800.448,517.563,-0.122,0.000917,-0.001074,0.00028,-0.474,0.181,0.0,0.001,-0.001,0.0,2.64,-0.394,-0.005
800.449,517.562,-0.121,0.001419,-0.001078,0.000274,-0.475,0.182,0.0,0.001,-0.001,0.0,2.651,-0.394,-0.005
800.451,517.561,-0.121,0.00189,-0.001075,0.000268,-0.476,0.183,0.0,0.002,-0.001,0.0,2.662,-0.394,-0.005
800.452,517.559,-0.121,0.002329,-0.001067,0.000262,-0.478,0.185,0.0,0.002,-0.001,0.0,2.673,-0.395,-0.004
800.454,517.558,-0.12,0.002737,-0.001054,0.000256,-0.48,0.186,0.0,0.003,-0.001,0.0,2.683,-0.395,-0.004
800.457,517.556,-0.12,0.003115,-0.001037,0.00025,-0.483,0.187,0.0,0.003,-0.001,0.0,2.693,-0.395,-0.004
800.46,517.555,-0.12,0.003464,-0.001017,0.000244,-0.486,0.188,0.0,0.003,-0.001,0.0,2.703,-0.395,-0.004
800.463,517.554,-0.12,0.003785,-0.000995,0.000238,-0.489,0.189,0.0,0.004,-0.001,0.0,2.712,-0.395,-0.003
800.467,517.552,-0.119,0.004077,-0.00097,0.000233,-0.493,0.19,0.0,0.004,-0.001,0.0,2.721,-0.395,-0.003
800.471,517.551,-0.119,0.004344,-0.000944,0.000227,-0.497,0.191,0.0,0.004,-0.001,0.0,2.731,-0.396,-0.003
800.475,517.549,-0.119,0.004584,-0.000917,0.000222,-0.502,0.192,0.0,0.005,-0.001,0.0,2.739,-0.396,-0.003
800.48,517.548,-0.119,0.0048,-0.000889,0.000217,-0.506,0.194,0.0,0.005,-0.001,0.0,2.748,-0.396,-0.002
800.484,517.546,-0.119,0.004992,-0.00086,0.000211,-0.511,0.195,0.0,0.005,-0.001,0.0,2.756,-0.396,-0.002
800.489,517.545,-0.118,0.005162,-0.000832,0.000206,-0.516,0.195,0.0,0.005,-0.001,0.0,2.765,-0.396,-0.002
800.494,517.544,-0.118,0.00531,-0.000804,0.000201,-0.521,0.196,0.0,0.005,-0.001,0.0,2.773,-0.396,-0.002
800.499,517.542,-0.118,0.005437,-0.000776,0.000197,-0.526,0.197,0.0,0.005,-0.001,0.0,2.781,-0.396,-0.002
800.505,517.541,-0.118,0.005545,-0.000749,0.000192,-0.532,0.198,0.0,0.006,-0.001,0.0,2.788,-0.397,-0.001
800.51,517.539,-0.118,0.005634,-0.000722,0.000188,-0.537,0.199,0.0,0.006,-0.001,0.0,2.796,-0.397,-0.001
800.516,517.538,-0.117,0.005706,-0.000697,0.000183,-0.543,0.2,0.0,0.006,-0.001,0.0,2.803,-0.397,-0.001
800.521,517.537,-0.117,0.005762,-0.000673,0.000179,-0.548,0.201,0.0,0.006,-0.001,0.0,2.81,-0.397,-0.001
800.527,517.535,-0.117,0.005802,-0.000649,0.000175,-0.554,0.201,0.0,0.006,-0.001,0.0,2.817,-0.397,-0.001
800.532,517.534,-0.117,0.005827,-0.000628,0.000171,-0.56,0.202,0.0,0.006,-0.001,0.0,2.824,-0.397,-0.0
800.538,517.533,-0.117,0.005839,-0.000607,0.000167,-0.566,0.203,0.0,0.006,-0.001,0.0,2.831,-0.397,-0.0
800.544,517.531,-0.116,0.005838,-0.000588,0.000164,-0.571,0.204,0.0,0.006,-0.001,0.0,2.838,-0.398,-0.0
800.55,517.53,-0.116,0.005825,-0.00057,0.00016,-0.577,0.204,0.0,0.006,-0.001,0.0,2.844,-0.398,0.0
800.555,517.529,-0.116,0.005802,-0.000554,0.000157,-0.583,0.205,0.0,0.006,-0.001,0.0,2.851,-0.398,0.0
800.561,517.528,-0.116,0.005768,-0.00054,0.000153,-0.589,0.206,0.0,0.006,-0.001,0.0,5.371,-2.935,0.0
800.567,517.526,-0.116,0.002195,0.002607,-0.001334,-0.595,0.206,0.0,0.002,0.003,-0.001,5.342,-2.935,0.0
800.569,517.529,-0.117,-0.00481,0.004752,-0.002624,-0.597,0.203,0.0,-0.005,0.005,-0.003,2.805,-0.397,-0.001
800.565,517.534,-0.12,-0.005119,0.004047,-0.001996,-0.593,0.197,0.0,-0.005,0.004,-0.002,2.688,-0.395,-0.003
800.56,517.539,-0.122,-0.005548,0.003685,-0.001455,-0.588,0.191,0.0,-0.006,0.004,-0.001,2.6,-0.393,-0.005
800.555,517.543,-0.123,-0.00708,0.003262,-0.001016,-0.583,0.187,0.0,-0.007,0.003,-0.001,2.537,-0.392,-0.007
800.549,517.547,-0.124,-0.00847,0.002748,-0.000664,-0.576,0.183,0.0,-0.008,0.003,-0.001,2.495,-0.391,-0.008
800.541,517.551,-0.125,-0.009333,0.002207,-0.000389,-0.567,0.18,0.0,-0.009,0.002,-0.0,2.469,-0.391,-0.009
800.532,517.554,-0.125,-0.009663,0.001696,-0.00018,-0.558,0.177,0.0,-0.01,0.002,-0.0,2.455,-0.391,-0.009
800.522,517.557,-0.126,-0.009579,0.001241,-2.6e-05,-0.549,0.176,0.0,-0.01,0.001,-0.0,2.45,-0.391,-0.009
800.513,517.56,-0.126,-0.00921,0.000848,8.5e-05,-0.539,0.174,0.0,-0.009,0.001,0.0,2.452,-0.391,-0.009
800.504,517.562,-0.125,-0.008656,0.000512,0.000164,-0.53,0.174,0.0,-0.009,0.001,0.0,2.458,-0.391,-0.009
800.495,517.563,-0.125,-0.007991,0.000228,0.000218,-0.521,0.173,0.0,-0.008,0.0,0.0,2.468,-0.391,-0.009
800.487,517.564,-0.125,-0.007261,-1.2e-05,0.000255,-0.513,0.173,0.0,-0.007,-0.0,0.0,2.48,-0.391,-0.009
800.48,517.565,-0.125,-0.006498,-0.000215,0.000279,-0.506,0.173,0.0,-0.006,-0.0,0.0,2.492,-0.391,-0.008
800.474,517.566,-0.125,-0.005724,-0.000387,0.000295,-0.499,0.174,0.0,-0.006,-0.0,0.0,2.506,-0.392,-0.008
800.468,517.566,-0.124,-0.004952,-0.000531,0.000303,-0.493,0.174,0.0,-0.005,-0.001,0.0,2.52,-0.392,-0.008
800.463,517.566,-0.124,-0.004193,-0.000651,0.000308,-0.488,0.175,0.0,-0.004,-0.001,0.0,2.533,-0.392,-0.008
800.459,517.566,-0.124,-0.003453,-0.000751,0.000309,-0.484,0.176,0.0,-0.003,-0.001,0.0,2.547,-0.392,-0.007
800.455,517.566,-0.123,-0.002737,-0.000833,0.000307,-0.481,0.176,0.0,-0.003,-0.001,0.0,2.561,-0.393,-0.007
800.452,517.565,-0.123,-0.002048,-0.000899,0.000305,-0.478,0.177,0.0,-0.002,-0.001,0.0,2.574,-0.393,-0.007
800.45,517.565,-0.123,-0.001388,-0.000951,0.000301,-0.476,0.178,0.0,-0.001,-0.001,0.0,2.587,-0.393,-0.006
800.449,517.564,-0.122,-0.000759,-0.00099,0.000296,-0.474,0.18,0.0,-0.001,-0.001,0.0,2.599,-0.393,-0.006
800.448,517.563,-0.122,-0.000161,-0.001019,0.000291,-0.474,0.181,0.0,-0.0,-0.001,0.0,2.612,-0.393,-0.006
800.448,517.562,-0.122,0.000404,-0.001039,0.000286,-0.473,0.182,0.0,0.0,-0.001,0.0,2.623,-0.394,-0.005
800.448,517.561,-0.122,0.000938,-0.00105,0.00028,-0.474,0.183,0.0,0.001,-0.001,0.0,2.635,-0.394,-0.005
800.449,517.56,-0.121,0.001439,-0.001053,0.000274,-0.475,0.184,0.0,0.001,-0.001,0.0,2.646,-0.394,-0.005
800.45,517.559,-0.121,0.001909,-0.001051,0.000268,-0.476,0.185,0.0,0.002,-0.001,0.0,2.657,-0.394,-0.005
800.452,517.557,-0.121,0.002347,-0.001043,0.000262,-0.478,0.187,0.0,0.002,-0.001,0.0,2.668,-0.394,-0.004
800.454,517.556,-0.12,0.002754,-0.00103,0.000256,-0.48,0.188,0.0,0.003,-0.001,0.0,2.678,-0.395,-0.004
800.457,517.555,-0.12,0.003131,-0.001014,0.00025,-0.483,0.189,0.0,0.003,-0.001,0.0,2.688,-0.395,-0.004
800.46,517.553,-0.12,0.003479,-0.000995,0.000245,-0.486,0.19,0.0,0.003,-0.001,0.0,2.698,-0.395,-0.004
800.463,517.552,-0.12,0.003799,-0.000973,0.000239,-0.489,0.191,0.0,0.004,-0.001,0.0,2.708,-0.395,-0.003
800.467,517.55,-0.119,0.004091,-0.000948,0.000233,-0.493,0.192,0.0,0.004,-0.001,0.0,2.717,-0.395,-0.003
800.471,517.549,-0.119,0.004356,-0.000923,0.000228,-0.497,0.193,0.0,0.004,-0.001,0.0,2.726,-0.396,-0.003
800.475,517.548,-0.119,0.004596,-0.000896,0.000222,-0.501,0.194,0.0,0.005,-0.001,0.0,2.735,-0.396,-0.003
800.479,517.546,-0.119,0.004811,-0.000868,0.000217,-0.506,0.195,0.0,0.005,-0.001,0.0,2.744,-0.396,-0.002
800.484,517.545,-0.119,0.005003,-0.00084,0.000212,-0.511,0.196,0.0,0.005,-0.001,0.0,2.752,-0.396,-0.002
800.489,517.543,-0.118,0.005172,-0.000812,0.000207,-0.516,0.197,0.0,0.005,-0.001,0.0,2.76,-0.396,-0.002
800.494,517.542,-0.118,0.005319,-0.000784,0.000202,-0.521,0.198,0.0,0.005,-0.001,0.0,2.769,-0.396,-0.002
800.499,517.54,-0.118,0.005446,-0.000757,0.000197,-0.526,0.199,0.0,0.005,-0.001,0.0,2.776,-0.396,-0.002
800.504,517.539,-0.118,0.005554,-0.00073,0.000192,-0.532,0.2,0.0,0.006,-0.001,0.0,2.784,-0.397,-0.001
800.51,517.538,-0.118,0.005643,-0.000704,0.000188,-0.537,0.201,0.0,0.006,-0.001,0.0,2.792,-0.397,-0.001
800.515,517.536,-0.117,0.005714,-0.000679,0.000183,-0.543,0.202,0.0,0.006,-0.001,0.0,2.799,-0.397,-0.001
800.521,517.535,-0.117,0.00577,-0.000655,0.000179,-0.548,0.202,0.0,0.006,-0.001,0.0,2.807,-0.397,-0.001
800.527,517.534,-0.117,0.005809,-0.000632,0.000175,-0.554,0.203,0.0,0.006,-0.001,0.0,2.814,-0.397,-0.001
800.532,517.532,-0.117,0.005834,-0.00061,0.000171,-0.56,0.204,0.0,0.006,-0.001,0.0,2.821,-0.397,-0.0
800.538,517.531,-0.117,0.005846,-0.00059,0.000167,-0.566,0.205,0.0,0.006,-0.001,0.0,2.828,-0.397,-0.0
800.544,517.53,-0.116,0.005845,-0.000571,0.000164,-0.571,0.205,0.0,0.006,-0.001,0.0,2.834,-0.397,-0.0
800.549,517.529,-0.116,0.005831,-0.000554,0.00016,-0.577,0.206,0.0,0.006,-0.001,0.0,2.841,-0.398,0.0
800.555,517.527,-0.116,0.005807,-0.000538,0.000157,-0.583,0.207,0.0,0.006,-0.001,0.0,2.847,-0.398,0.0
800.561,517.526,-0.116,0.005773,-0.000524,0.000154,-0.589,0.207,0.0,0.006,-0.001,0.0,5.365,-2.935,0.0
800.567,517.525,-0.116,0.002198,0.002622,-0.001333,-0.595,0.208,0.0,0.002,0.003,-0.001,5.335,-2.935,0.0
800.569,517.527,-0.117,-0.004808,0.004767,-0.002624,-0.597,0.204,0.0,-0.005,0.005,-0.003,2.801,-0.397,-0.001
800.565,517.533,-0.12,-0.005118,0.004062,-0.001996,-0.593,0.198,0.0,-0.005,0.004,-0.002,2.685,-0.395,-0.003
800.56,517.537,-0.122,-0.005547,0.0037,-0.001455,-0.588,0.193,0.0,-0.006,0.004,-0.001,2.597,-0.393,-0.005
800.555,517.542,-0.123,-0.007078,0.003277,-0.001016,-0.583,0.188,0.0,-0.007,0.003,-0.001,2.534,-0.392,-0.007
800.549,517.546,-0.124,-0.008468,0.002763,-0.000664,-0.576,0.184,0.0,-0.008,0.003,-0.001,2.492,-0.391,-0.008
800.54,517.549,-0.125,-0.00933,0.002222,-0.000389,-0.567,0.181,0.0,-0.009,0.002,-0.0,2.465,-0.391,-0.009
800.531,517.553,-0.125,-0.00966,0.001711,-0.00018,-0.558,0.179,0.0,-0.01,0.002,-0.0,2.451,-0.391,-0.009
800.522,517.556,-0.126,-0.009576,0.001255,-2.6e-05,-0.549,0.177,0.0,-0.01,0.001,-0.0,2.447,-0.391,-0.009
800.513,517.558,-0.126,-0.009207,0.000861,8.6e-05,-0.539,0.176,0.0,-0.009,0.001,0.0,2.449,-0.391,-0.009
800.504,517.56,-0.125,-0.008654,0.000526,0.000164,-0.53,0.175,0.0,-0.009,0.001,0.0,2.455,-0.391,-0.009
800.495,517.562,-0.125,-0.007988,0.000242,0.000219,-0.521,0.174,0.0,-0.008,0.0,0.0,2.465,-0.391,-0.009
800.487,517.563,-0.125,-0.007258,1e-06,0.000255,-0.513,0.174,0.0,-0.007,0.0,0.0,2.476,-0.391,-0.009
800.48,517.564,-0.125,-0.006496,-0.000202,0.00028,-0.506,0.174,0.0,-0.006,-0.0,0.0,2.489,-0.391,-0.008
800.474,517.565,-0.125,-0.005721,-0.000374,0.000295,-0.499,0.175,0.0,-0.006,-0.0,0.0,2.503,-0.392,-0.008
800.468,517.565,-0.124,-0.00495,-0.000518,0.000303,-0.493,0.175,0.0,-0.005,-0.001,0.0,2.517,-0.392,-0.008
800.463,517.565,-0.124,-0.004191,-0.000639,0.000308,-0.488,0.176,0.0,-0.004,-0.001,0.0,2.53,-0.392,-0.008
800.459,517.565,-0.124,-0.003451,-0.000739,0.000309,-0.484,0.177,0.0,-0.003,-0.001,0.0,2.544,-0.392,-0.007
800.455,517.565,-0.123,-0.002735,-0.000821,0.000308,-0.481,0.178,0.0,-0.003,-0.001,0.0,2.558,-0.393,-0.007
800.452,517.564,-0.123,-0.002046,-0.000887,0.000305,-0.478,0.179,0.0,-0.002,-0.001,0.0,2.571,-0.393,-0.007
800.45,517.563,-0.123,-0.001386,-0.000939,0.000301,-0.476,0.18,0.0,-0.001,-0.001,0.0,2.584,-0.393,-0.006
800.449,517.563,-0.122,-0.000757,-0.000979,0.000296,-0.474,0.181,0.0,-0.001,-0.001,0.0,2.597,-0.393,-0.006
800.448,517.562,-0.122,-0.00016,-0.001008,0.000291,-0.474,0.182,0.0,-0.0,-0.001,0.0,2.609,-0.393,-0.006
800.448,517.561,-0.122,0.000406,-0.001027,0.000286,-0.473,0.183,0.0,0.0,-0.001,0.0,2.621,-0.394,-0.005
800.448,517.56,-0.122,0.000939,-0.001038,0.00028,-0.474,0.184,0.0,0.001,-0.001,0.0,2.632,-0.394,-0.005
800.449,517.559,-0.121,0.00144,-0.001042,0.000274,-0.475,0.185,0.0,0.001,-0.001,0.0,2.644,-0.394,-0.005
800.45,517.557,-0.121,0.001909,-0.00104,0.000268,-0.476,0.187,0.0,0.002,-0.001,0.0,2.655,-0.394,-0.005
800.452,517.556,-0.121,0.002348,-0.001032,0.000262,-0.478,0.188,0.0,0.002,-0.001,0.0,2.665,-0.394,-0.004
800.454,517.555,-0.12,0.002755,-0.00102,0.000256,-0.48,0.189,0.0,0.003,-0.001,0.0,2.676,-0.395,-0.004
800.457,517.553,-0.12,0.003132,-0.001003,0.00025,-0.483,0.19,0.0,0.003,-0.001,0.0,2.686,-0.395,-0.004
800.46,517.552,-0.12,0.00348,-0.000984,0.000245,-0.486,0.191,0.0,0.003,-0.001,0.0,2.696,-0.395,-0.004
800.463,517.551,-0.12,0.0038,-0.000962,0.000239,-0.489,0.192,0.0,0.004,-0.001,0.0,2.705,-0.395,-0.003
800.467,517.549,-0.119,0.004092,-0.000938,0.000233,-0.493,0.193,0.0,0.004,-0.001,0.0,2.715,-0.395,-0.003
800.471,517.548,-0.119,0.004357,-0.000912,0.000228,-0.497,0.194,0.0,0.004,-0.001,0.0,2.724,-0.395,-0.003
800.475,517.546,-0.119,0.004597,-0.000886,0.000222,-0.501,0.195,0.0,0.005,-0.001,0.0,2.733,-0.396,-0.003
800.479,517.545,-0.119,0.004812,-0.000858,0.000217,-0.506,0.196,0.0,0.005,-0.001,0.0,2.741,-0.396,-0.002
800.484,517.544,-0.119,0.005003,-0.00083,0.000212,-0.511,0.197,0.0,0.005,-0.001,0.0,2.75,-0.396,-0.002
800.489,517.542,-0.118,0.005172,-0.000802,0.000207,-0.516,0.198,0.0,0.005,-0.001,0.0,2.758,-0.396,-0.002
800.494,517.541,-0.118,0.00532,-0.000775,0.000202,-0.521,0.199,0.0,0.005,-0.001,0.0,2.766,-0.396,-0.002
800.499,517.539,-0.118,0.005447,-0.000747,0.000197,-0.526,0.2,0.0,0.005,-0.001,0.0,2.774,-0.396,-0.002
800.504,517.538,-0.118,0.005554,-0.00072,0.000192,-0.532,0.201,0.0,0.006,-0.001,0.0,2.782,-0.397,-0.001
800.51,517.537,-0.118,0.005643,-0.000694,0.000188,-0.537,0.202,0.0,0.006,-0.001,0.0,2.79,-0.397,-0.001
800.515,517.535,-0.117,0.005715,-0.000669,0.000184,-0.543,0.203,0.0,0.006,-0.001,0.0,2.797,-0.397,-0.001
800.521,517.534,-0.117,0.00577,-0.000646,0.000179,-0.548,0.203,0.0,0.006,-0.001,0.0,2.805,-0.397,-0.001
800.527,517.533,-0.117,0.00581,-0.000623,0.000175,-0.554,0.204,0.0,0.006,-0.001,0.0,2.812,-0.397,-0.001
800.532,517.531,-0.117,0.005835,-0.000601,0.000171,-0.56,0.205,0.0,0.006,-0.001,0.0,2.819,-0.397,-0.0
800.538,517.53,-0.117,0.005846,-0.000581,0.000168,-0.566,0.205,0.0,0.006,-0.001,0.0,2.826,-0.397,-0.0
800.544,517.529,-0.116,0.005845,-0.000563,0.000164,-0.572,0.206,0.0,0.006,-0.001,0.0,2.832,-0.397,-0.0
800.549,517.528,-0.116,0.005832,-0.000545,0.00016,-0.577,0.207,0.0,0.006,-0.001,0.0,2.839,-0.398,0.0
800.555,517.526,-0.116,0.005808,-0.00053,0.000157,-0.583,0.207,0.0,0.006,-0.001,0.0,2.845,-0.398,0.0
800.561,517.525,-0.116,0.005773,-0.000515,0.000154,-0.589,0.208,0.0,0.006,-0.001,0.0,5.36,-2.935,0.0
800.567,517.524,-0.116,0.002197,0.00263,-0.001333,-0.595,0.209,0.0,0.002,0.003,-0.001,5.33,-2.935,0.001
800.569,517.526,-0.117,-0.00481,0.004774,-0.002624,-0.597,0.205,0.0,-0.005,0.005,-0.003,2.8,-0.397,-0.001
800.565,517.532,-0.12,-0.00512,0.00407,-0.001996,-0.593,0.199,0.0,-0.005,0.004,-0.002,2.683,-0.395,-0.003
800.56,517.536,-0.122,-0.005549,0.003708,-0.001455,-0.588,0.194,0.0,-0.006,0.004,-0.001,2.595,-0.393,-0.005
