eta_x,eta_y,eta_psi,nu_u,nu_v,nu_r,x_tilde,y_tilde,on_land,u,v,r,d_obs,psi_tilde_obs,psi_tilde
392.763,825.602,-0.199,0.660649,-0.252017,-0.000597,460.0,-221.325,0.0,0.661,-0.252,-0.001,51.016,1.089,-0.082
393.361,825.225,-0.199,0.662702,-0.251309,-0.000577,459.471,-220.799,0.0,0.663,-0.251,-0.001,51.168,1.09,-0.083
393.96,824.847,-0.2,0.664762,-0.250613,-0.000559,458.935,-220.282,0.0,0.665,-0.251,-0.001,51.319,1.091,-0.084
394.562,824.469,-0.201,0.666827,-0.24993,-0.000542,458.394,-219.776,0.0,0.667,-0.25,-0.001,51.47,1.093,-0.084
395.166,824.092,-0.201,0.668897,-0.249259,-0.000526,457.846,-219.278,0.0,0.669,-0.249,-0.001,51.619,1.094,-0.085
395.772,823.714,-0.202,0.67097,-0.248599,-0.000511,457.292,-218.788,0.0,0.671,-0.249,-0.001,51.768,1.095,-0.085
396.379,823.336,-0.202,0.673045,-0.247951,-0.000498,456.732,-218.306,0.0,0.673,-0.248,-0.0,51.917,1.096,-0.086
396.989,822.958,-0.203,0.675122,-0.247315,-0.000486,456.168,-217.831,0.0,0.675,-0.247,-0.0,52.064,1.098,-0.086
397.6,822.58,-0.203,0.6772,-0.246689,-0.000475,455.598,-217.363,0.0,0.677,-0.247,-0.0,52.211,1.099,-0.087
398.214,822.202,-0.204,0.679277,-0.246075,-0.000466,455.024,-216.9,0.0,0.679,-0.246,-0.0,52.358,1.1,-0.087
398.829,821.823,-0.204,0.681353,-0.245471,-0.000458,454.446,-216.442,0.0,0.681,-0.245,-0.0,52.504,1.101,-0.088
399.447,821.445,-0.204,0.683427,-0.244878,-0.000451,453.863,-215.989,0.0,0.683,-0.245,-0.0,52.649,1.102,-0.088
400.066,821.066,-0.205,0.685498,-0.244296,-0.000446,453.277,-215.539,0.0,0.685,-0.244,-0.0,52.793,1.104,-0.089
400.688,820.688,-0.205,0.687566,-0.243723,-0.000442,452.688,-215.093,0.0,0.688,-0.244,-0.0,52.937,1.105,-0.089
401.311,820.309,-0.206,0.689628,-0.243161,-0.000439,452.095,-214.65,0.0,0.69,-0.243,-0.0,53.081,1.106,-0.089
401.937,819.93,-0.206,0.691686,-0.242609,-0.000438,451.5,-214.208,0.0,0.692,-0.243,-0.0,53.224,1.107,-0.09
402.564,819.551,-0.207,0.693738,-0.242066,-0.000438,450.901,-213.768,0.0,0.694,-0.242,-0.0,53.366,1.108,-0.09
403.193,819.172,-0.207,0.695783,-0.241533,-0.000438,450.301,-213.329,0.0,0.696,-0.242,-0.0,53.508,1.109,-0.091
