f_1,f_2,f_3,a_1,a_2
100.0,-21.135,-19.731,-0.41,-0.4
100.0,-21.031,-19.797,-0.408,-0.4
100.0,-20.923,-19.862,-0.406,-0.399
100.0,-20.81,-19.927,-0.404,-0.399
100.0,-20.692,-19.992,-0.401,-0.399
100.0,-20.57,-20.056,-0.399,-0.399
100.0,-20.443,-20.121,-0.397,-0.398
100.0,-20.311,-20.184,-0.395,-0.398
100.0,-20.174,-20.248,-0.392,-0.397
100.0,-20.032,-20.311,-0.39,-0.397
100.0,-19.885,-20.373,-0.387,-0.396
100.0,-19.733,-20.435,-0.385,-0.396
100.0,-19.576,-20.497,-0.382,-0.395
100.0,-19.413,-20.558,-0.38,-0.394
100.0,-19.245,-20.618,-0.377,-0.393
100.0,-19.071,-20.678,-0.375,-0.392
100.0,-18.892,-20.738,-0.372,-0.391
100.0,-18.707,-20.797,-0.369,-0.39
100.0,-18.516,-20.854,-0.366,-0.389
100.0,-18.32,-20.912,-0.364,-0.388
100.0,-18.117,-20.968,-0.361,-0.386
100.0,-17.908,-21.023,-0.358,-0.385
100.0,-17.693,-21.078,-0.355,-0.383
100.0,-17.471,-21.131,-0.352,-0.382
100.0,-17.242,-21.183,-0.349,-0.38
100.0,-17.007,-21.234,-0.345,-0.378
100.0,-16.765,-21.284,-0.342,-0.376
100.0,-16.516,-21.332,-0.339,-0.374
100.0,-16.26,-21.379,-0.336,-0.372
100.0,-15.996,-21.424,-0.332,-0.37
100.0,-15.725,-21.468,-0.329,-0.368
100.0,-15.446,-21.509,-0.325,-0.365
100.0,-15.16,-21.549,-0.322,-0.363
100.0,-14.865,-21.586,-0.318,-0.36
100.0,-14.562,-21.621,-0.314,-0.357
100.0,-14.251,-21.654,-0.31,-0.354
100.0,-13.931,-21.684,-0.306,-0.351
100.0,-13.603,-21.711,-0.302,-0.348
100.0,-13.266,-21.735,-0.298,-0.345
100.0,-12.92,-21.757,-0.294,-0.341
100.0,-12.565,-21.775,-0.29,-0.338
100.0,-12.2,-21.789,-0.286,-0.334
100.0,-11.826,-21.801,-0.281,-0.33
100.0,-11.443,-21.808,-0.277,-0.326
100.0,-11.05,-21.811,-0.272,-0.322
100.0,-10.647,-21.811,-0.268,-0.317
100.0,-10.234,-21.806,-0.263,-0.313
100.0,-9.811,-21.797,-0.258,-0.308
100.0,-9.379,-21.783,-0.254,-0.303
100.0,-8.936,-21.764,-0.249,-0.298
100.0,-8.483,-21.741,-0.244,-0.292
100.0,-8.021,-21.713,-0.238,-0.287
100.0,-7.548,-21.679,-0.233,-0.281
100.0,-7.065,-21.641,-0.228,-0.275
100.0,-6.572,-21.597,-0.223,-0.269
100.0,-6.069,-21.549,-0.217,-0.263
