,x,y,psi,x_tilde,y_tilde,on_land,u,v,r,d_obs,psi_tilde_obs,psi_tilde
863,739.1585119691633,549.7137793212146,0.43815830771264164,-44.03553667450751,-1.6903975490913297,0.0,-0.03658260484701198,0.0,0.0,16.55254840901715,-2.8785193086277396,0.5545135911789303
864,771.7677158748045,556.8009568737037,0.5741639276417767,-75.08757532436427,16.056254856423305,0.0,-0.3097295874622252,0.0,0.0,28.366191065477224,-2.8133444035203103,0.6905192111080654
865,807.6020308327614,576.18735119732,0.22454448138826888,-115.29626327796055,-21.556378993134473,0.0,-0.05948176464092225,0.0,0.0,65.76040228603614,-2.4096195087099304,0.34089976485455753
866,800.0819019136841,580.615863881271,-0.41473417809312607,-71.00033851015672,-87.11010597187945,0.0,-0.23153315262778418,0.0,0.0,64.59947577259922,-1.0283525686582085,-0.2983788946268374
867,593.7913980736947,551.9619393201071,0.1350714139794189,102.2164750354917,-36.559514117111256,0.0,0.36225924421698985,0.0,0.0,5.629161052786668,-2.934768682548084,0.25142669744570756
868,663.9255159127017,554.6675746247854,0.41472215972927295,22.87547575940075,-37.56977273606999,0.0,0.30988163388164935,0.0,0.0,8.107738071963254,-2.9251239195204324,0.5310774431955616
869,661.8280191803171,602.9365909919671,0.3388165207195637,11.593650731348369,-81.94888821051333,0.0,0.4584545219907432,0.0,0.0,72.85425028618018,-2.44159827595322,0.45517180418585235
870,670.323775495937,590.4188758249093,-0.7640672398972512,63.5746316354675,-23.45322888220048,0.0,0.4554825303367593,0.0,0.0,56.56417590442152,-0.454898181770812,-0.6477119564309626
871,619.8980732813094,554.7736054952126,-0.23087748946609576,83.75990506062726,-6.273125457762458,0.0,0.34823729194395875,0.0,0.0,20.939751315976217,-0.7805159358950137,-0.11452220599980713
872,598.1555966059241,571.2273750597823,0.6265665347002933,58.0310518136884,-93.51926730611194,0.0,0.3561246755527638,0.0,0.0,14.394966854589946,-2.8989685012419986,0.742921818166582
