Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
50	336.907	100.3	416.207	167.329	1000.0	41.3358	9.887	49.8602	-17.491	204000	1.54972e-08	417.165	-0.0131785	-97.6931	4.57384	0.0142365	0.202	6.0	202.9364311695099
51	371.936	24.8234	398.446	331.954	1000.0	44.2931	9.06461	50.8879	-31.7738	208000	-5.48363e-09	192.913	-0.0464487	-34.2212	4.57321	0.011119	0.20325	79.0	206.7984902858734
52	394.56	60.5817	447.579	293.568	1000.0	41.858	7.98564	50.0761	-28.9006	212000	-1.39475e-08	285.131	-0.0487095	-73.1276	4.50122	0.0108392	0.22125	79.0	211.92923521995544
53	397.346	33.4707	434.073	343.056	1000.0	45.6187	10.9403	52.3805	-48.6445	216000	5.36442e-09	194.309	-0.0216024	-27.661	4.46383	0.017116	0.19675	15.0	215.16269278526306
54	400.365	50.8139	474.913	336.721	1000.0	44.5706	8.10444	51.479	-37.128	220000	3.09944e-09	211.812	-0.0145473	-15.6088	4.50883	0.0168231	0.2095	5.0	218.29668354988098
55	468.037	38.609	515.093	407.56	1000.0	45.5616	6.66181	51.9471	-19.06	224000	-4.29153e-09	203.17	-0.00913834	-32.556	4.44745	0.0185852	0.27875	5.0	221.43415307998657
56	444.917	78.4174	505.791	312.42	1000.0	48.6317	4.98728	53.8262	-29.0407	228000	-1.35899e-08	240.766	-0.0141725	-33.3886	4.45225	0.0163825	0.183	9.0	224.60685110092163
57	403.828	20.0342	430.566	374.395	1000.0	45.3733	6.34994	52.2889	-21.6172	232000	2.72989e-08	164.248	-0.0107308	-43.1077	4.48582	0.0174517	0.20475	6.0	228.88785552978516
58	424.211	23.3236	456.879	391.37	1000.0	39.7507	5.23983	49.4019	-6.00798	236000	2.16961e-08	159.352	-0.00986417	-19.6055	4.45404	0.0176763	0.22225	4.0	233.02877068519592
59	420.131	32.8788	463.938	380.296	1000.0	43.1158	5.15222	51.0256	9.04371	240000	2.63453e-08	164.231	-0.00798894	-14.1436	4.43307	0.0213409	0.258	4.0	236.16137194633484
60	424.717	31.4871	472.68	388.463	1000.0	40.025	5.488	49.3134	-14.0473	244000	7.98702e-09	180.927	-0.0120208	-16.0008	4.45548	0.0169999	0.17525	6.0	239.6965298652649
61	448.879	38.6947	505.251	397.306	1000.0	41.5634	6.94332	49.7923	-6.26638	248000	-1.63317e-08	185.127	-0.0474777	-10.0116	4.42116	0.0136152	0.2255	79.0	243.56681489944458
