Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time	N episodes
43	98.53329	275.57367	422.1566	-532.8066	1109.5	15.419297	14.539964	106.40542	-36.03552	880000	1.5258789e-09	2833.916	-0.00573972	-922.5708	4.5087132	0.006592638	0.1005	79.0	2303.142349720001	892
44	8.533803	375.60858	523.7515	-601.6916	956.9	9.275674	34.162144	99.320854	-249.62595	900000	-2.1362304e-08	5142.811	-0.0032648009	-3319.9058	4.5349298	0.018231895	0.21985	3.0	2345.932681798935	913
45	-117.616234	308.11804	387.0697	-533.69464	939.5714	-6.8421054	61.716614	198.94562	-308.84515	920000	6.1035155e-09	7872.1416	-0.009373344	-4570.298	4.545786	0.009656958	0.1075	79.0	2403.448891401291	935
46	-79.53074	326.81992	328.22418	-545.6687	992.0	-8.38727	44.873055	82.30489	-386.18506	940000	0.0	4665.0854	-0.006930724	-1897.1975	4.521704	0.0047530886	0.0756	79.0	2460.9636528491974	955
47	-60.04429	323.81647	410.0369	-600.51605	968.75	2.1093557	46.952957	184.57396	-392.003	960000	1.373291e-08	4018.0852	-0.0019522125	-2103.3296	4.5586114	0.015856711	0.20205	2.0	2503.746828317642	976
48	82.1566	260.70068	498.69843	-512.43445	1106.3334	0.63399804	49.60927	81.97852	-395.27512	980000	6.1035155e-09	2456.29	-0.0095483335	-1766.3442	4.545066	0.009099589	0.09275	79.0	2562.4429774284363	995
49	87.46879	281.81705	471.86404	-578.25903	1089.0	17.135479	27.619177	193.4301	-197.84233	1000000	-3.0517577e-09	2259.0408	-0.0078696	-1429.4207	4.4950147	0.004329341	0.07075	79.0	2620.4938266277313	1014
50	117.9145	272.48602	465.11176	-608.66144	1091.9445	12.976883	21.337875	78.07094	-107.40489	1020000	0.0	1325.7479	-0.004796399	-513.3053	4.5441594	0.0046828226	0.0833	79.0	2678.498613357544	1033
51	130.4946	183.44586	419.971	-406.34665	1110.7646	11.758476	32.916763	116.72564	-405.6494	1040000	9.155274e-09	1193.535	-0.006519748	-799.5657	4.5557985	0.0068490324	0.08265	79.0	2736.3406524658203	1051
52	221.46321	93.55464	468.0385	77.346756	1200.0	2.4285133	47.863056	104.54131	-376.17114	1060000	-7.629395e-09	2290.1743	-0.008252012	-2268.1218	4.5323553	0.009106919	0.08765	79.0	2794.674248456955	1068
53	63.385105	259.74512	380.60715	-606.63947	1093.0	14.231253	12.580827	147.76192	-117.22166	1080000	1.373291e-08	1839.5092	-0.003062387	-608.0824	4.525766	0.015971148	0.22805	4.0	2838.211126804352	1087
54	42.355156	334.56714	414.14243	-610.76575	1051.6666	8.500756	29.102674	101.57636	-184.20558	1100000	3.0517577e-09	2657.8813	-0.009756983	-1240.9955	4.533743	0.0079416735	0.11265	79.0	2895.7788338661194	1106
55	16.095982	345.166	808.4632	-599.85114	980.4	14.190653	21.704634	87.702705	-81.013535	1120000	6.866455e-09	5639.2974	-0.007744305	-2864.8005	4.5325155	0.0071336515	0.08695	79.0	2953.8399016857147	1127
56	57.183594	263.34375	292.02106	-601.26166	1040.0526	4.9510303	32.66261	111.849724	-285.4805	1140000	-6.1035155e-09	2078.2727	-0.0031678192	-1450.8337	4.5639577	0.013941382	0.1778	3.0	2997.047691822052	1147
57	259.14087	131.23528	569.46454	88.311325	1200.0	4.7625546	43.65324	90.30179	-277.70126	1160000	-3.0517577e-09	2026.6946	-0.006943121	-1942.2863	4.533617	0.012514753	0.1257	79.0	3055.2995958328247	1164
58	169.15141	167.20018	405.24216	-327.56815	1151.6471	16.441177	17.468803	124.35698	-64.70814	1180000	-1.2207031e-08	1090.3822	-0.0029732331	-894.5882	4.4970484	0.009927745	0.1325	3.0	3098.5277955532074	1182
59	215.76883	120.78395	494.27008	84.46595	1200.0	14.392994	16.94467	138.19637	-71.032104	1200000	-1.8310548e-08	149.96706	-0.012104666	-124.82334	4.4840946	0.010796581	0.1075	79.0	3156.403135538101	1199
60	150.6503	240.41307	423.12128	-416.59436	1106.2222	20.305988	18.161243	89.14163	-89.09762	1220000	7.629395e-09	2693.782	-0.007046008	-1822.852	4.465069	0.005416973	0.07615	79.0	3215.186222076416	1218
